InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Year,Month,Day,Hour
577022,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-11-17 12:42:00,2.95,13668,United Kingdom,17.700000000000003,2011,11,Thursday,12
556576,22139,RETROSPOT TEA SET CERAMIC 11 PC ,2,2011-06-13 13:55:00,4.95,14606,United Kingdom,9.9,2011,6,Monday,13
561923,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2011-08-01 12:16:00,1.25,14112,United Kingdom,30.0,2011,8,Monday,12
573511,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-10-31 12:25:00,0.55,12347,Iceland,13.200000000000001,2011,10,Monday,12
557893,23171,REGENCY TEA PLATE GREEN ,12,2011-06-23 14:12:00,1.65,15228,United Kingdom,19.799999999999997,2011,6,Thursday,14
545515,22715,CARD WEDDING DAY,12,2011-03-03 12:06:00,0.42,12727,France,5.04,2011,3,Thursday,12
548212,22857,ASSORTED EASTER GIFT TAGS,12,2011-03-30 09:12:00,0.85,12456,Switzerland,10.2,2011,3,Wednesday,9
545428,22423,REGENCY CAKESTAND 3 TIER,4,2011-03-02 14:43:00,12.75,14239,United Kingdom,51.0,2011,3,Wednesday,14
578074,23491,VINTAGE JINGLE BELLS HEART,5,2011-11-22 16:06:00,8.25,17590,United Kingdom,41.25,2011,11,Tuesday,16
573876,21917,SET 12 KIDS  WHITE CHALK STICKS,2,2011-11-01 12:48:00,0.42,16360,United Kingdom,0.84,2011,11,Tuesday,12
541225,22312,OFFICE MUG WARMER POLKADOT,2,2011-01-14 14:47:00,2.95,14099,United Kingdom,5.9,2011,1,Friday,14
580054,23350,ROLL WRAP VINTAGE SPOT ,3,2011-12-01 13:08:00,1.25,18122,United Kingdom,3.75,2011,12,Thursday,13
543734,22926,IVORY GIANT GARDEN THERMOMETER,6,2011-02-11 12:22:00,5.95,17512,United Kingdom,35.7,2011,2,Friday,12
543132,22029,SPACEBOY BIRTHDAY CARD,12,2011-02-03 15:27:00,0.42,15235,United Kingdom,5.04,2011,2,Thursday,15
574659,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2011-11-06 11:44:00,2.08,16942,United Kingdom,4.16,2011,11,Sunday,11
565649,23206,LUNCH BAG APPLE DESIGN,3,2011-09-05 16:27:00,1.65,16712,United Kingdom,4.949999999999999,2011,9,Monday,16
565766,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,2011-09-06 14:23:00,2.55,17841,United Kingdom,2.55,2011,9,Tuesday,14
542401,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2011-01-27 15:51:00,2.95,14541,United Kingdom,2.95,2011,1,Thursday,15
565541,82616B,FRAPPUCINO SCARF KNITTING KIT,2,2011-09-05 12:00:00,1.25,14159,United Kingdom,2.5,2011,9,Monday,12
553731,23160,REGENCY TEA SPOON,12,2011-05-19 08:26:00,1.25,12481,Germany,15.0,2011,5,Thursday,8
574737,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-11-06 15:53:00,1.65,14868,United Kingdom,19.799999999999997,2011,11,Sunday,15
548611,21790,VINTAGE SNAP CARDS,24,2011-04-01 11:31:00,0.85,18230,United Kingdom,20.4,2011,4,Friday,11
574740,22969,HOMEMADE JAM SCENTED CANDLES,96,2011-11-06 16:07:00,1.25,12357,Switzerland,120.0,2011,11,Sunday,16
551056,21899,"KEY FOB , GARAGE DESIGN",1,2011-04-26 11:51:00,0.65,16442,United Kingdom,0.65,2011,4,Tuesday,11
578270,21703,BAG 125g SWIRLY MARBLES,1,2011-11-23 13:39:00,0.83,14096,United Kingdom,0.83,2011,11,Wednesday,13
